Name;Label;Question
P7170S5;Con los beneficios y prestaciones que recibe?;63B. ¿Está ..... satisfecho con los beneficios y prestaciones que recibe?
;;1.Si
;;2.No
P7170S6;Con su jornada laboral actual?;63C. ¿Está ..... satisfecho con su jornada laboral actual?
;;1 Si
;;2 No
P7180;¿está afiliado o hace parte de una asociación gremial o sindical?;64. ¿Está afiliado o hace parte de una asociación gremial o sindical?
;;1 Sí
;;2 No
P514;¿considera que es su empleo o trabajo actual es estable?;P65.¿Considera que es su empleo o trabajo actual es estable?
;;1 Si
;;2 No
P515;¿su horario de trabajo y sus responsabilidades familiares son compatibles?;P66.¿Su horario de trabajo y sus responsabilidades familiares son compatibles?
;;1. Si
;;2. No
P7240;En caso de no tener trabajo, de donde obtendría principalmente los recursos para sus gastos y/o los de su hogar:;67. ¿En caso de no tener trabajo, de donde obtendría principalmente los recursos para sus gastos y/o los de su hogar:
;;a. Cesantías?
;;b. Ahorros personales?
;;c. Ayudas de hijos o familiares?
;;d. Indemnización o similar?
;;e. No lo ha considerado?
;;f. Vendería su vivienda o bienes del hogar?
;;g. Empeñaría bienes del hogar?
;;h. No tendría recursos?
;;i. Solicitaría dinero prestado?
;;j. Otros,
P7240S1;Otros, ¿cuales?;67. ¿En caso de no tener trabajo, de donde obtendría principalmente los recursos para sus gastos y/o los de su hogar:
;;¿cuales? ____________
OFICIO;¿qué hace ... En este trabajo?;1. ¿Qué hace……en este trabajo?
;;Código ________
RAMA2D;¿a qué actividad se dedica principalmente la empresa o negocio en la que ... Realiza su trabajo?;3. ¿A qué actividad se dedica principalmente la empresa o negocio en la que…… realiza su trabajo?
OCI;Población ocupada;Población Ocupada
P6430;En este trabajo ... Es:;12. En este trabajo…..es:
;;a. Obrero o empleado de empresa particular
;;b. Obrero o empleado del gobierno
;;c. Empleado doméstico
;;d. Trabajador por cuenta propia
;;e. Patrón o empleador
;;f. Trabajador familiar sin remuneración
;;g. Trabajador sin remuneración en empresas o negocios de otros hogares
;;h. Jornalero o peón
;;i. Otro,
RAMA4D;Rama de actividad;Rama de la actividad según la CIIU revisión 3 adaptada para Colombia
RAMA4DP8;Rama de actividad;Rama de la actividad según la CIIU revisión 3 adaptada para Colombia
RAMA2DP8;Rama de actividad;Rama de la actividad según la CIIU revisión 3 adaptada para Colombia
INGLABO;Ingresos laborales;Ingresos Laborales
MES;Mes;Mes
DPTO;Departamento;Departamento
fex_c_2011;Factor de expansión;
